id,zh-tw-city,eng-city
YMQ,蒙特婁,MONTREAL
YMG,溫尼伯,WINNIPEG
YYC,卡加立,CALGARY
YEA,愛德頓,EDMONTON
YQX,干達,GANDER
YHZ,哈立法克斯,HALIFAX
CAI,開羅,CAIRO
CPT,開普敦,CAPETOWN
BEY,貝魯特,BEIRUT
TLV,台拉維夫,TEL AVIV
DAM,大馬士革,DANASCUS
AMM,安曼,AMMAN
JED,吉達,JEDDAH
BAH,巴林,BAHRAIN
JNB,約翰尼斯堡,JOHAN NFABURG
FIA,金夏沙,KINSHASA
MLA,馬爾他,MALTA
TUN,突尼斯,TUNIS
DKR,達卡,DAKAR
BGF,班基,BAN-GUI
BZV,布拉薩市,BRAXXABILLE
MRU,模里西斯,MAURITIUS
DXB,杜拜,DUBAI
KWI,科威特,KUWAIT
BGW,巴格達,BAGHDAD
THR,德黑蘭,TEHRAN
TIP,地黎波斯,TRIPOLI
ALG,阿爾吉爾,ALGIERS
CAS,卡薩馬達卡,CASABLANCA
LPA,拉斯馬巴斯,LASPALMAS
CKY,科那克里,CONAKRY
FNA,自由城,FREETOWN
BKO,巴馬科,BAMAKO
ABJ,阿必尚,ABIDJAN
MLW,蒙羅維亞,MONROVIA
NIM,尼阿美,NIAMEY
ACC,阿克拉,ACCRA
OUA,瓦加杜古,OUAGADOUGOU
FTL,拉米堡,FORT LAMY
YAO,亞恩德,YAOUNDE
COO,科多努,COTONOU
LOS,拉哥斯,LAGOS
LVB,自由府,LIBREVILLE
LAD,盧安達,LUAN DA
WDH,溫黎克,WINDHOEK
KRT,卡吐穆,KHARTOUM
IST,伊斯坦堡,ISTANBUL
ANK,安卡拉,ANKARA
ADE,亞丁,ADEN
MCT,馬斯開特,MUSCAT
ABD,阿巴具,ABADAN
TNR,塔那那次棉,TANANARIVE
EDI,愛丁堡,EDINBURGH
LFW,洛梅,LOME
MSU,馬基魯,MASERU
MTS,馬基尼,MANZINI
DOH,杜哈,DOHA
DHA,達蘭,DHAHRAN
RUH,利雅德,RIYADH
LLW,里郎威,LILONGWE
NDJ,恩將納,N'DJAMENA
DAR,達來撤蘭,DAR ES SALAAM
LUN,露沙卡,LUSAKA
MGO,摩加迪修,MOGADISHU
EBB,恩特比/坎帕拉,ENTEBBE/KAMPALA
ADD,阿迪斯阿魯巴,ADDIS ABABA
NBO,奈洛彼,NAIROBI
BLZ,布蘭太,BLANTYRE
LUM,魯倫素馬凱斯,LOURENCO MAROUES
SAY,索斯伯里,SALISBURY
DRW,達爾文,DARWIN
PER,伯斯,PERTH
SYD,雪梨,SYDNEY
BNE,布里斯本,BRISBANE
CBR,坎培拉,CANBERRA
MEB,墨爾本,MELBOURNE
CHC,基督城,CHRISTCHURCH
WLG,威靈頓,WELLINGTON
AKL,奧克蘭,AUCKLAND
NOU,努美亞,NOUMEA
NAN,南地,NADI
PPG,巴哥巴哥,PAGO APGO
CNS,凱恩斯,CAIRNS
HBT,何巴特,HAFR ALBATIN
POM,摩勒斯比港,POTR MORESBY
SUV,蘇瓦,SUVA
PPT,大溪地,PAPEETE
CJJ,清州,Cheongju
TAE,大邱,Daegu
ICN,仁川,Incheon
NRT,成田,Narita
DMK,廊曼,DonMueang
MEL,墨爾本,Melbourne
ONT,安大略,Ontario
ORD,歐海爾,OHare
HND,東京,Haneda
CJU,濟州,Jeju
CTS,札幌新千歲,NewChitose
KIX,關西國際機場,Kansai
KMQ,小松,Komatsu
HKD,函館機場,Hakodate
DAD,峴港國際機場,DaNang
